id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,6743.7,1.0,4686880000.0,114432577484,16968812.0,16968812.0,21000000.0,0.08,-5.69,-8.22,1523347767
ethereum,Ethereum,ETH,2,397.216,0.059062,1330200000.0,39216429901.0,98728223.0,98728223.0,,-0.09,-5.53,-0.46,1523347755
ripple,Ripple,XRP,3,0.486155,0.00007229,224044000.0,19005996673.0,39094520623.0,99992405149.0,100000000000,0.02,-4.31,-7.12,1523347741
bitcoin-cash,Bitcoin Cash,BCH,4,634.369,0.0943244,238300000.0,10825618000.0,17065175.0,17065175.0,21000000.0,0.07,-6.13,-7.93,1523347752
litecoin,Litecoin,LTC,5,113.638,0.0168969,237046000.0,6365703907.0,56017388.0,56017388.0,84000000.0,-0.05,-6.11,-7.61,1523347741
eos,EOS,EOS,6,5.82716,0.00086644,207904000.0,4570044302.0,784266144.0,900000000.0,1000000000.0,0.19,-2.85,-2.37,1523347751
cardano,Cardano,ADA,7,0.150008,0.00002230,68480700.0,3889267997.0,25927070538.0,31112483745.0,45000000000.0,-0.0,-7.39,-7.81,1523347755
stellar,Stellar,XLM,8,0.199012,0.00002959,34294400.0,3691919130.0,18551238769.0,103847435165,,1.13,-6.07,-14.54,1523347744
neo,NEO,NEO,9,50.2331,0.00746916,153966000.0,3265151500.0,65000000.0,100000000.0,100000000.0,0.14,-7.73,-2.29,1523347748
iota,IOTA,MIOTA,10,0.976739,0.00014523,23410700.0,2714875629.0,2779530283.0,2779530283.0,2779530283.0,-0.06,-7.38,-8.86,1523347750
monero,Monero,XMR,11,165.306,0.0245793,22326700.0,2630704849.0,15914152.0,15914152.0,,0.12,-6.8,-10.5,1523347743
tron,TRON,TRX,12,0.0363296,0.00000540,337869000.0,2388602597.0,65748111645.0,100000000000,,-0.05,-3.0,4.91,1523347753
dash,Dash,DASH,13,296.652,0.0441092,72748500.0,2373728213.0,8001727.0,8001727.0,18900000.0,-0.02,-7.27,-9.67,1523347741
tether,Tether,USDT,14,1.00096,0.00014883,1551280000.0,2289336469.0,2287140814.0,2580109970.0,,0.07,0.23,-0.05,1523347745
nem,NEM,XEM,15,0.225176,0.00003348,16248700.0,2026584000.0,8999999999.0,8999999999.0,,-0.34,-6.38,-7.74,1523347744
binance-coin,Binance Coin,BNB,16,12.0305,0.00178882,77513300.0,1398685228.0,116261604.0,197192382.0,,-0.34,-3.15,-7.84,1523347753
vechain,VeChain,VEN,17,2.62657,0.00039055,70767000.0,1378346466.0,524770505.0,873378637.0,,1.97,1.6,-9.18,1523347752
ethereum-classic,Ethereum Classic,ETC,18,13.4328,0.00199732,86836200.0,1357740141.0,101076480.0,101076480.0,,0.47,-6.21,-9.17,1523347747
verge,Verge,XVG,19,0.0839233,0.00001248,385861000.0,1246870157.0,14857258436.0,14857258436.0,16555000000.0,3.1,15.59,46.13,1523347743
qtum,Qtum,QTUM,20,13.1972,0.00196229,99133400.0,1168112044.0,88512112.0,100512112.0,,0.24,-6.26,-10.68,1523347750
omisego,OmiseGO,OMG,21,9.0186,0.00134098,27457400.0,920280957.0,102042552.0,140245398.0,,0.13,-7.43,-1.71,1523347753
ontology,Ontology,ONT,22,3.80087,0.00056515,80049600.0,916908390.0,241236451.0,1000000000.0,,0.57,9.31,78.0,1523347761
lisk,Lisk,LSK,23,8.50458,0.00126455,17517500.0,881896029.0,103696600.0,119948032.0,,-0.6,-11.22,0.89,1523347746
icon,ICON,ICX,24,1.97687,0.00029394,40330600.0,765130253.0,387041258.0,400228750.0,,0.21,-6.53,-10.82,1523347755
bitcoin-gold,Bitcoin Gold,BTG,25,40.9029,0.00608186,7584900.0,692656298.0,16934161.0,17034161.0,21000000.0,0.2,-5.76,-8.23,1523347755
zcash,Zcash,ZEC,26,176.604,0.0262593,31999100.0,648007538.0,3669269.0,3669269.0,,0.02,-5.86,-12.2,1523347749
nano,Nano,NANO,27,4.75557,0.00070711,8994110.0,633671567.0,133248289.0,133248289.0,133248290.0,-0.34,-7.6,-15.8,1523347750
bytom,Bytom,BTM,28,0.525834,0.00007819,18155500.0,518998158.0,987000000.0,1407000000.0,,0.79,0.96,7.48,1523347752
steem,Steem,STEEM,29,1.78462,0.00026535,3196420.0,457113168.0,256140337.0,273114431.0,,0.66,-9.04,-13.32,1523347746
populous,Populous,PPT,30,11.3524,0.00168799,1151730.0,420084515.0,37004027.0,53252246.0,53252246.0,-0.31,-8.18,-8.85,1523347753
digixdao,DigixDAO,DGD,31,204.818,0.0304544,14376600.0,409636000.0,2000000.0,2000000.0,,-0.15,-5.42,-12.35,1523347746
wanchain,Wanchain,WAN,32,3.69673,0.00054967,10778300.0,392417104.0,106152493.0,210000000.0,,0.23,-2.98,11.36,1523347761
bytecoin-bcn,Bytecoin,BCN,33,0.00212201,0.00000032,2668740.0,390088244.0,183829597582,183829597582,184470000000,0.25,-5.93,-5.77,1523347743
siacoin,Siacoin,SC,34,0.0109383,0.00000163,5015790.0,368475075.0,33686685747.0,33686685747.0,,-0.8,-8.45,-1.05,1523347744
bitcoin-diamond,Bitcoin Diamond,BCD,35,2.38699,0.00035492,2267140.0,365256911.0,153019875.0,156019875.0,210000000.0,0.44,-6.4,10.02,1523347756
